episode_id,title_en,title_jp,air_date,duration,season,episode_num,plot,main_gadget,gadget_category,theme,is_filler,director,writer,viewership_rating,is_remake,moral_lesson
S01E01,Nobita's Future Diary,のび太の未来日記,1979-04-02,22,1,1,Nobita uses a future diary to change his fate but learns cheating has consequences.,Future Diary,Time Manipulation,Consequences,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12.5,FALSE,Honesty is the best policy.
S01E02,The Prophecy of the Fortune-Telling Card,うらないカードの予言,1979-04-09,22,1,2,Nobita uses fortune-telling cards to predict the future but misinterprets them.,Fortune-Telling Cards,Divination,Irony,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.8,FALSE,Don't rely too much on predictions.
S01E03,The Time Machine is Lost!,タイムマシンがなくなった！,1979-04-16,22,1,3,"Doraemon's time machine goes missing, causing chaos.",Time Machine,Time Travel,Responsibility,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.9,FALSE,Take care of important things.
S01E04,The Candid Camera,正直太郎,1979-04-23,22,1,4,Nobita uses a truth-telling camera that forces people to be honest.,Candid Camera,Truth Enforcement,Honesty,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.2,FALSE,Truth can be uncomfortable but necessary.
S01E05,The Time Furoshiki,タイムふろしき,1979-04-30,22,1,5,Nobita wraps objects to age or rejuvenate them with chaotic results.,Time Furoshiki,Time Manipulation,Consequences,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.5,FALSE,Respect the natural flow of time.
S01E06,The Anywhere Door,どこでもドア,1979-05-07,22,1,6,"Nobita misuses the door to travel anywhere, leading to trouble.",Anywhere Door,Space Travel,Responsibility,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,13.1,FALSE,With great power comes great responsibility.
S01E07,The Bamboo-Copter,タケコプター,1979-05-14,22,1,7,Nobita learns to fly but faces unexpected challenges.,Bamboo-Copter,Flight,Adventure,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12.7,FALSE,Practice makes perfect.
S01E08,The Small Light,小さな灯,1979-05-21,22,1,8,Nobita shrinks to explore the world from a new perspective.,Small Light,Size Manipulation,Perspective,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.4,FALSE,Size doesn't define importance.
S01E09,The Lie-Speaking Mirror,うそつき鏡,1979-05-28,22,1,9,A mirror that lies causes Nobita to question his self-image.,Lie-Speaking Mirror,Illusion,Self-Esteem,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.8,FALSE,Believe in your true self.
S01E10,The Time TV,タイムテレビ,1979-06-04,22,1,10,"Nobita spies on past and future events, invading privacy.",Time TV,Surveillance,Privacy,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.6,FALSE,Respect others' privacy.
S01E11,The Copying Toast,コピーとうパン,1979-06-11,22,1,11,Nobita copies knowledge but learns shortcuts have limits.,Copying Toast,Knowledge Transfer,Education,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12.3,FALSE,Real learning takes effort.
S01E12,The Human Puppet,人間あやつり機,1979-06-18,22,1,12,"Nobita controls others like puppets, leading to rebellion.",Human Puppet,Mind Control,Free Will,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.7,FALSE,Respect others' autonomy.
S01E13,The Pass Loop,通り抜けフープ,1979-06-25,22,1,13,"Nobita uses a hoop to walk through walls, causing chaos.",Pass Loop,Phasing,Misuse,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.9,FALSE,Use gadgets wisely.
S01E14,The What-If Phone Booth,もしもボックス,1979-07-02,22,1,14,"Nobita alters reality with 'what-if' scenarios, facing unintended results.",What-If Phone Booth,Reality Warping,Consequences,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,13.4,FALSE,Be careful what you wish for.
S01E15,The Air Gun,空気ピストル,1979-07-09,22,1,15,Nobita uses an air gun to manipulate objects remotely.,Air Gun,Telekinesis,Responsibility,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.1,FALSE,Power requires restraint.
S01E16,The Ghost Camera,おばけカメラ,1979-07-16,22,1,16,"Nobita creates 'ghosts' to scare others, but it backfires.",Ghost Camera,Illusion,Karma,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.3,FALSE,Don't play mean tricks.
S01E17,The Dream Viewer,夢見る機,1979-07-23,22,1,17,"Nobita watches others' dreams, violating their privacy.",Dream Viewer,Dream Invasion,Ethics,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.7,FALSE,Respect others' inner worlds.
S01E18,The Cloud Solidifier,雲固め液,1979-07-30,22,1,18,Nobita builds a house on clouds but learns about impermanence.,Cloud Solidifier,Cloud Manipulation,Change,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.9,FALSE,Nothing lasts forever.
S01E19,The Animal Cookies,動物クッキー,1979-08-06,22,1,19,Nobita turns into animals but struggles to revert.,Animal Cookies,Transformation,Identity,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12,FALSE,Be content with who you are.
S01E20,The Time Cloth,タイムクロス,1979-08-13,22,1,20,Nobita repairs broken items by reversing their time.,Time Cloth,Time Reversal,Restoration,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.5,FALSE,Some things can't be undone.
S01E21,The Shadow Doppelgänger,影ふみあやつり,1979-08-20,22,1,21,"Nobita controls his shadow, which develops a mind of its own.",Shadow Controller,Shadow Manipulation,Autonomy,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.6,FALSE,Control isn't always good.
S01E22,The Gulliver Tunnel,ガリバートンネル,1979-08-27,22,1,22,"Nobita shrinks or enlarges objects, disrupting his neighborhood.",Gulliver Tunnel,Size Alteration,Balance,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12.2,FALSE,Size matters in context.
S01E23,The Human Magnet,人間磁石,1979-09-03,22,1,23,"Nobita becomes a magnet for people, losing personal space.",Human Magnet,Attraction,Boundaries,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.3,FALSE,Respect personal space.
S01E24,The Alibi Maker,アリバイこんにゃく,1979-09-10,22,1,24,Nobita creates fake alibis but gets tangled in lies.,Alibi Maker,Deception,Honesty,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.8,FALSE,Lies complicate life.
S01E25,The Emotion Controller,感情エネルギーメーター,1979-09-17,22,1,25,"Nobita manipulates emotions, causing unintended conflicts.",Emotion Controller,Emotion Manipulation,Empathy,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.7,FALSE,Emotions aren't tools.
S01E26,The Time Capsule,タイムカプセル,1979-09-24,22,1,26,Nobita buries a time capsule but future Nobita digs it up prematurely.,Time Capsule,Time Paradox,Patience,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12,FALSE,Some things need time.
S01E27,The Dream Director,夢のチャンネル,1979-10-01,22,1,27,Nobita directs others' dreams but loses control.,Dream Director,Dream Control,Chaos,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.1,FALSE,You can't control everything.
S01E28,The Weather Box,天気ボックス,1979-10-08,22,1,28,"Nobita controls the weather, disrupting natural balance.",Weather Box,Weather Control,Nature,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.9,FALSE,Respect natural order.
S01E29,The Human Switch,人間スイッチ,1979-10-15,22,1,29,"Nobita swaps bodies with others, experiencing their lives.",Human Switch,Body Swap,Perspective,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,12.4,FALSE,Walk in others' shoes.
S01E30,The Fortune-Telling Paper,うらないペーパー,1979-10-22,22,1,30,Nobita relies on fortune-telling paper for decisions.,Fortune Paper,Fate,Free Will,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,11.2,FALSE,Make your own choices.
S01E31,The Stamp of Anger,おこりんぼスタンプ,1979-10-29,22,1,31,"Nobita stamps people to make them angry, causing fights.",Anger Stamp,Emotion Alteration,Conflict,FALSE,Tsutomu Shibayama,Fujiko F. Fujio,10.7,FALSE,Anger spreads easily.
