gadget_name_original,gadget_name_english,first_appearance_episode,function,used_by,main_user,category,success_rate,failure_rate,is_recurring,notes
どこでもドア,Anywhere Door,1,Teleports users to any location instantly,"Nobita, Doraemon, friends",Nobita,Transportation,95,5,Yes,Most iconic; rarely fails unless misused
タケコプター,Hopter,2,Propeller for personal flight,"Nobita, Gian, Suneo",Nobita,Transportation,70,30,Yes,Fails due to low battery or clumsiness
タイムマシン,Time Machine,5,Travels through time,"Nobita, Doraemon",Nobita,Time Travel,90,10,Yes,Kept in Nobita's desk drawer
暗記パン,Memory Bread,10,Absorbs text when pressed on book pages,Nobita,Nobita,Education,60,40,No,Often eaten before use
空気砲,Air Cannon,15,Shoots compressed air as a weapon,"Nobita, Gian",Gian,Weapon,85,15,Yes,Used against bullies
ほんやくコンニャク,Translation Gummy,20,Translates any language,"Nobita, Doraemon",Nobita,Daily Life,99,1,Yes,Highly reliable
タイムふろしき,Time Kerchief,25,Repairs or reverts objects when wrapped,Nobita,Nobita,Daily Life,80,20,Yes,Misuse ages/de-ages objects
通り抜けフープ,Pass Loop,30,Walk through walls,Nobita,Nobita,Daily Life,75,25,No,Gets stuck occasionally
ショックガン,Shock Gun,35,Forces target to obey commands,"Nobita, Gian",Nobita,Weapon,50,50,No,Often backfires
雲かためガス,Cloud Solidifier,40,Turns clouds into solid platforms,"Nobita, Suneo",Nobita,Transportation,65,35,No,Requires clear skies
スモールライト,Small Light,45,Shrinks objects/people,"Nobita, Doraemon",Nobita,Transformation,88,12,Yes,Used for stealth
ビッグライト,Big Light,50,Enlarges objects/people,Nobita,Nobita,Transformation,85,15,Yes,Causes chaos if misused
タイムテレビ,Time TV,55,Watches past/future events,Nobita,Nobita,Time Travel,95,5,Yes,Rarely fails
人間よけスプレー,Human Repellent Spray,60,Makes user invisible to people,Nobita,Nobita,Stealth,70,30,No,Wears off quickly
ガリバートンネル,Gulliver Tunnel,65,Shrinks/grows objects passing through,Nobita,Nobita,Transformation,80,20,Yes,Used for mini-adventures
コベヤッター,Come Here Catcher,70,Teleports objects to user,Nobita,Nobita,Daily Life,75,25,No,Misses target sometimes
